timestamp,value
2021-09-20,142879
2021-09-19,112359
2021-09-18,145933
2021-09-17,164078
2021-09-16,157375
2021-09-15,153373
2021-09-14,158989
2021-09-13,153486
2021-09-12,113603
2021-09-11,141896
2021-09-10,160851
2021-09-09,161693
2021-09-08,158061
2021-09-07,156557
2021-09-06,153193
2021-09-05,116527
2021-09-04,150117
2021-09-03,163902
2021-09-02,157989
2021-09-01,154780
2021-08-31,138757
2021-08-30,135378
2021-08-29,71991
2021-08-28,126927
2021-08-27,124881
2021-08-26,124882
2021-08-25,139128
2021-08-24,138310
2021-08-23,143158
2021-08-22,93013
2021-08-21,124647
2021-08-20,146420
2021-08-19,144411
2021-08-18,122042
2021-08-17,119278
2021-08-16,127466
2021-08-15,102589
2021-08-14,128296
2021-08-13,150516
2021-08-12,146081
2021-08-11,145632
2021-08-10,136476
2021-08-09,135177
2021-08-08,90316
2021-08-07,120313
2021-08-06,138512
2021-08-05,136961
2021-08-04,143525
2021-08-03,137900
2021-08-02,121652
2021-08-01,79127
2021-07-31,108251
2021-07-30,120816
2021-07-29,94043
2021-07-28,70102
2021-07-27,71025
2021-07-26,70314
2021-07-25,48819
2021-07-24,64045
2021-07-23,75855
2021-07-22,74761
2021-07-21,73732
2021-07-20,75735
2021-07-19,74578
2021-07-18,54187
2021-07-17,70257
2021-07-16,81379
2021-07-15,78385
2021-07-14,71380
2021-07-13,74801
2021-07-12,83489
2021-07-11,51627
2021-07-10,72257
2021-07-09,82719
2021-07-08,81237
2021-07-07,82059
2021-07-06,77632
2021-07-05,77408
2021-07-04,51714
2021-07-03,75768
2021-07-02,84890
2021-07-01,73835
2021-06-30,77632
2021-06-29,81875
2021-06-28,81524
2021-06-27,55268
2021-06-26,72619
2021-06-25,66449
2021-06-24,89774
2021-06-23,91592
2021-06-22,87567
2021-06-21,86356
2021-06-20,64032
2021-06-19,80839
2021-06-18,94271
2021-06-17,83916
2021-06-16,41254
2021-06-15,15893
2021-06-14,15473
2021-06-13,9893
2021-06-12,13789
2021-06-11,15996
2021-06-10,16346
2021-06-09,16062
